原标签 (Original Tag),精校中文翻译 (Refined Translation),作品数量 (Count),大类分类 (Primary Category),子分类/说明 (Subcategory)
equestria girls,equestria girls,1308,分类标签,General
aether,aether,1307,分类标签,General
創作,創作,1307,分类标签,General
鳴潮,鳴潮,1305,分类标签,General
flower,flower,1304,分类标签,General
jenny,jenny,1303,分类标签,General
boobjob,boobjob,1303,分类标签,General
yennefer,yennefer,1303,分类标签,General
titfuck,乳交 / 夹胸,1303,性爱玩法,XP - Sex
rapunzel,rapunzel,1302,分类标签,General
#news,news (话题标签),1301,社媒标签,General
endhawks,endhawks,1301,分类标签,General
hugetits,hugetits,1300,分类标签,General
hunk,hunk,1300,分类标签,General
bonus audio,bonus audio,1299,分类标签,General
supporter,supporter,1298,分类标签,General
feminine,feminine,1298,分类标签,General
unconscious,unconscious,1297,分类标签,General
獣人,獣人,1296,分类标签,General
muscular woman,muscular woman,1295,分类标签,General
fate series,fate series,1295,分类标签,General
pose,pose,1294,分类标签,General
leezi,leezi,1294,分类标签,General
human penis,human penis,1294,分类标签,General
full episode,full episode,1294,分类标签,General
piercing,piercing,1293,分类标签,General
inanimate,物品化 / 器物变身,1293,性癖/变身,XP - Inanimate
no bra,no bra,1292,分类标签,General
juri,juri,1292,分类标签,General
kisses,kisses,1291,分类标签,General
nsfwart,nsfwart,1291,美术格式,General
ブログ,ブログ,1291,分类标签,General
brigitte,brigitte,1290,分类标签,General
fairy,fairy,1290,分类标签,General
doujinshi,同人本 / 同人志,1289,制品类型,Comic
#stevenuniverse,stevenuniverse (话题标签),1288,社媒标签,General
#feet,feet (话题标签),1288,社媒标签,General
erection,erection,1288,分类标签,General
halo,halo,1285,分类标签,General
ゼンゼロ,ゼンゼロ,1284,分类标签,General
lady,lady,1283,分类标签,General
subliminal,subliminal,1283,分类标签,General
thewitcher,thewitcher,1283,分类标签,General
adoptable,adoptable,1281,分类标签,General
mega,mega,1281,分类标签,General
samus aran,samus aran,1280,分类标签,General
usa,usa,1280,分类标签,General
amazon woman,amazon woman,1279,分类标签,General
#gemsona,gemsona (话题标签),1278,社媒标签,General
thesims4cc,thesims4cc,1278,分类标签,General
#wip,wip (话题标签),1278,社媒标签,General
ストッキング,ストッキング,1277,分类标签,General
graphics,graphics,1277,分类标签,General
run bts,run bts,1277,分类标签,General
darkness,darkness,1276,分类标签,General
rouge,rouge,1276,分类标签,General
scenes,scenes,1275,分类标签,General
高画質,高画質,1275,分类标签,General
inomay,inomay,1274,分类标签,General
raikage,raikage,1273,分类标签,General
comic strip,comic strip,1273,分类标签,General
肥満化,肥満化,1272,分类标签,General
ガールズ&パンツァー,ガールズ&パンツァー,1272,分类标签,General
pink hair,pink hair,1272,分类标签,General
paid,paid,1271,分类标签,General
in dc world with marvel,in dc world with marvel,1271,分类标签,General
apothecary diaries,apothecary diaries,1271,分类标签,General
レズ,レズ,1270,分类标签,General
doujin,同人本 / 同人志,1269,制品类型,Comic
police,police,1269,分类标签,General
claws,claws,1269,分类标签,General
shinee,shinee,1268,分类标签,General
evelyn,evelyn,1267,分类标签,General
facial,颜射 / 脸上射精,1266,性爱玩法,XP - Fluids
half figure,half figure,1266,分类标签,General
base,base,1265,分类标签,General
ashe,ashe,1264,分类标签,General
coming soon,coming soon,1264,分类标签,General
keqing,keqing,1264,分类标签,General
xnalara,xnalara,1262,分类标签,General
tied up,tied up,1262,分类标签,General
#goonaddict,goonaddict (话题标签),1261,社媒标签,General
gold tier,gold tier,1261,分类标签,General
fyp,fyp,1261,分类标签,General
ナミ,ナミ,1259,分类标签,General
jade,jade,1259,分类标签,General
2k,2k,1259,分类标签,General
legendary patron,legendary patron,1257,分类标签,General
praise,praise,1257,分类标签,General
blob,blob,1257,分类标签,General
ejaculation,ejaculation,1257,分类标签,General
practice,practice,1257,分类标签,General
tv show reactions,tv show reactions,1255,分类标签,General
toloveる,toloveる,1255,分类标签,General
gi,gi,1254,分类标签,General
my oc,my oc,1254,分类标签,General
体格差,体格差,1253,分类标签,General
fursona,fursona,1252,分类标签,General
livestreams,livestreams,1252,分类标签,General
ぴっちりスーツ,ぴっちりスーツ,1252,分类标签,General
sticker,sticker,1251,分类标签,General
anime girls,anime girls,1250,分类标签,General
t,t,21250,分类标签,General
thai bl,thai bl,1250,分类标签,General
improv,improv,1250,分类标签,General
monthly reward,monthly reward,1249,分类标签,General
once upon a time,once upon a time,1249,分类标签,General
shrunk,shrunk,1249,分类标签,General
shemale,人妖 / 伪娘扶他,1248,角色属性,XP - Futa
full watchalongs,full watchalongs,1248,分类标签,General
sexual,sexual,1246,分类标签,General
bull,bull,1245,分类标签,General
modern,modern,1244,制品类型,General
#foot #footfetish #soles,foot footfetish soles (话题标签),1243,社媒标签,General
シーン配布(コイカツ!),シーン配布(コイカツ!),1243,分类标签,General
lili,lili,1242,分类标签,General
biceps,biceps,1241,分类标签,General
tekken,铁拳,81241,流行IP/游戏,IP - Tekken
knot,knot,1240,分类标签,General
street,street,1240,分类标签,General
#sfw,sfw (话题标签),1240,社媒标签,General
iu,iu,1239,分类标签,General
thesims,thesims,1239,分类标签,General
weapon,weapon,1238,分类标签,General
mixedfight,mixedfight,1237,分类标签,General
thank you,thank you,1236,分类标签,General
hybrid,hybrid,1236,分类标签,General
olivia,olivia,1234,分类标签,General
horsecock,horsecock,1234,分类标签,General
ウルトラヒロイン,奥特曼特摄女英雄/战队皮套女战士,1233,角色类型,XP - Heroine/Latex
